idx,file_name,mean_H,q25_H,q75_H,std_H,n_windows,rms
0,2004.02.12.10.32.39,0.7160009862392519,0.7097819666469886,0.7201426093700113,0.011570853037298677,10,0.07417899856512623
4,2004.02.12.11.12.39,0.73098991997068,0.720830328717569,0.739498903378935,0.013516864227589482,10,0.07847429073677968
8,2004.02.12.11.52.39,0.7375049771557506,0.7310211610512221,0.7397180868733784,0.010217983480368006,10,0.07902942984262255
12,2004.02.12.12.32.39,0.7299303667542488,0.723257229558825,0.7333995033866834,0.0086537781881201,10,0.07740458087623109
16,2004.02.12.13.12.39,0.7289585275217663,0.7236241596495139,0.7337260555757621,0.01344196278511511,10,0.07845338360094803
20,2004.02.12.13.52.39,0.733974741057974,0.7263294097444519,0.737710935109817,0.015864763997760687,10,0.07902854786058722
24,2004.02.12.14.32.39,0.7366782909259016,0.7299555409058499,0.7403001553934188,0.008317118841860618,10,0.07938138784581765
28,2004.02.12.15.12.39,0.7292349207980495,0.7203301986412152,0.7353433726888957,0.01030238713096443,10,0.07827954401833694
32,2004.02.12.15.52.39,0.7331466862113074,0.7264370351986328,0.7388304919782273,0.00981195832494315,10,0.07742107025313345
36,2004.02.12.16.32.39,0.7214759722537301,0.7140362206492814,0.7323202814417064,0.01237532868553573,10,0.07686189103169887
40,2004.02.12.17.12.39,0.7331722349472274,0.7219981950837869,0.7439740224289031,0.01302456145467006,10,0.0785959604559929
44,2004.02.12.17.52.39,0.7327328185179257,0.7266815973920764,0.7402848217304294,0.009083334605589369,10,0.07808856431612202
48,2004.02.12.18.32.39,0.734525036493918,0.7300339502075779,0.7400607617194497,0.008106373246376884,10,0.07824754763529333
52,2004.02.12.19.12.39,0.7365048987159926,0.7276869689467613,0.7446262053428071,0.011624295060776986,10,0.07938090836770041
56,2004.02.12.19.52.39,0.7313551759696164,0.7248666052988163,0.7380541963729486,0.011006939370800597,10,0.07738031364276786
60,2004.02.12.20.32.39,0.7375716933253248,0.7297961386241353,0.7428907410093428,0.00986960550332418,10,0.0786632849704597
64,2004.02.12.21.12.39,0.7256341022057574,0.7164939087786317,0.7321915755515205,0.013704984739380303,10,0.0771994016001541
68,2004.02.12.21.52.39,0.7307548255090859,0.7272322035714208,0.7363871163807497,0.011759692472292702,10,0.07695564843578329
72,2004.02.12.22.32.39,0.7284543894942518,0.7234253700060052,0.7307280056359703,0.01046188562408975,10,0.07740031675131004
76,2004.02.12.23.12.39,0.7187383969905137,0.7078241133768535,0.7272706084068906,0.011076924471951232,10,0.07689052656973988
80,2004.02.12.23.52.39,0.7273532674336647,0.7185500112029437,0.7348673450567891,0.010812436792346078,10,0.07699061808712475
84,2004.02.13.00.32.39,0.7257202247971593,0.7181662074660725,0.7356061010185508,0.013557828059885748,10,0.077721765308917
88,2004.02.13.01.12.39,0.7314759072458374,0.7288715931808903,0.734768131489822,0.009793672989116054,10,0.07763068115281484
92,2004.02.13.01.52.39,0.7280044893064621,0.7232343856616252,0.7336907714668925,0.010492886264912488,10,0.07671097179256287
96,2004.02.13.02.32.39,0.7278178713325743,0.7269088421114592,0.7365584201927889,0.01527693205037564,10,0.07831602988602893
100,2004.02.13.03.12.39,0.7343841154651932,0.7245569937074509,0.7375787558367128,0.012495630938487202,10,0.07794620572117751
104,2004.02.13.03.52.39,0.7293651718160363,0.7259371497328951,0.734297875287237,0.0070114405814975835,10,0.07728281753869194
108,2004.02.13.04.32.39,0.719237019478885,0.7137639687516217,0.7251677997708692,0.007480434979968577,10,0.07604057915175538
112,2004.02.13.05.12.39,0.7313805235025305,0.7258880466158536,0.7409596261809176,0.01252451059550997,10,0.07797731008871667
116,2004.02.13.05.52.39,0.7387184595836622,0.7321449344803191,0.7471376158151632,0.011069182455113612,10,0.07894839654107137
120,2004.02.13.06.32.39,0.7257883431206138,0.7166329380211376,0.7366129347680629,0.01252997312020369,10,0.07669008183816046
124,2004.02.13.07.12.39,0.7228185828332224,0.7117430880443856,0.7325661861467481,0.014240227535205187,10,0.07639264641168841
128,2004.02.13.07.52.39,0.7196703880814931,0.7145143450666046,0.7269576124012067,0.009743794015622689,10,0.076352099612482
132,2004.02.13.08.32.39,0.735368161561529,0.7247766961088632,0.7448594394287802,0.01588294859958457,10,0.0761586642390206
136,2004.02.13.09.12.39,0.7253600127289342,0.7106981251767923,0.7412287167049456,0.01543215165752157,10,0.0777104419815558
140,2004.02.13.09.52.39,0.7255044033300747,0.7160928745254287,0.7309619321563171,0.012990274232715425,10,0.0767870829209941
144,2004.02.13.10.32.39,0.7191899670480126,0.7096830453465065,0.724055453303063,0.013781452712508666,10,0.07591135480982078
148,2004.02.13.11.12.39,0.7278480967187435,0.7214388738767137,0.736159825413953,0.012836749726975263,10,0.07621096753266964
152,2004.02.13.11.52.39,0.7268408509189287,0.7149842660010919,0.7412760334799532,0.012634327987623517,10,0.07692398274331452
156,2004.02.13.12.32.39,0.7295140164643458,0.7227976896702488,0.7375157916935875,0.01120791333779979,10,0.0784800631530072
160,2004.02.13.13.12.39,0.7252039237839203,0.7196315546490182,0.7316223092135775,0.008159936152864526,10,0.07651273988842887
164,2004.02.13.13.52.39,0.718523750891318,0.7115082649074935,0.7266324571952536,0.00926733632193346,10,0.07617467014102358
168,2004.02.13.14.32.39,0.7298260568095033,0.7215597546382461,0.7351936124533458,0.011977469599331693,10,0.07781753999741961
172,2004.02.13.15.12.39,0.7175016418617461,0.7114863240093614,0.7242466230205236,0.01170902870152392,10,0.07616144415760429
176,2004.02.13.15.52.39,0.7322634567576296,0.7287548710982302,0.7399142746494254,0.009882970990158772,10,0.0782630183983989
180,2004.02.13.16.32.39,0.7218802849255421,0.7126840365067654,0.7315263384940128,0.010817160732304794,10,0.07675079237935838
184,2004.02.13.17.12.39,0.7177560833667842,0.7081172661151987,0.7266273674313586,0.012807919650284272,10,0.07635685583884233
188,2004.02.13.17.52.39,0.7146952130808906,0.7094840795568874,0.7177028329914759,0.00880775044358507,10,0.07538985427067177
192,2004.02.13.18.32.39,0.7277940195774332,0.7162002766970341,0.7363686446939924,0.012218853663139937,10,0.07744816468381045
196,2004.02.13.19.12.39,0.7195037115660179,0.7124171946421894,0.7265751197874858,0.008353849159366558,10,0.07618282421306082
200,2004.02.13.19.52.39,0.7264415066621374,0.717788028056599,0.7339163113450613,0.013776685286588193,10,0.07864126887278634
204,2004.02.13.20.32.39,0.7175528679436644,0.7125900183797287,0.7233252071443763,0.010183029218487832,10,0.07589032163569179
208,2004.02.13.21.12.39,0.7205698536422417,0.7119819778466525,0.7233711085728964,0.01381071757151389,10,0.07669429791080462
212,2004.02.13.21.52.39,0.7270684362426627,0.7257795191846019,0.7316462124636276,0.00732486459364827,10,0.07733820308392225
216,2004.02.13.22.32.39,0.7314727751043013,0.7237923848430992,0.7360794105356128,0.012999851823488472,10,0.07688436331443231
220,2004.02.13.23.12.39,0.7290225402743447,0.7230173457704033,0.7338701010960098,0.007144869618739358,10,0.07746541157338786
224,2004.02.13.23.52.39,0.7300169957233774,0.7237326625937022,0.7351078528841588,0.008559114936854066,10,0.07756348867470199
228,2004.02.14.00.32.39,0.7318021173737591,0.7256454374707018,0.735105650122831,0.007539278696592058,10,0.07821621550028804
232,2004.02.14.01.12.39,0.7182802071668458,0.7080490769142158,0.7312499701313828,0.014876045860519263,10,0.07614514595135481
236,2004.02.14.01.52.39,0.7336132998714273,0.7255602479563883,0.7386565880913285,0.009471205898553957,10,0.07809616123978583
240,2004.02.14.02.32.39,0.7290741398816571,0.7240292932266016,0.7345645992766229,0.009468052765803125,10,0.07785435307655411
244,2004.02.14.03.12.39,0.7250814171270348,0.7150473733052575,0.7344159213702737,0.01326151044629349,10,0.07709097519834116
248,2004.02.14.03.52.39,0.7186981619373862,0.710600454676397,0.7254605120717825,0.011875737987772696,10,0.07587677323658983
252,2004.02.14.04.32.39,0.7322298058342839,0.7272420912123513,0.7377585128835393,0.006359480582509271,10,0.0786182224572888
256,2004.02.14.05.12.39,0.7285706064018999,0.7235482381912476,0.739398686538546,0.011272579778209914,10,0.07666247331291318
260,2004.02.14.05.52.39,0.7266452935068586,0.7180837692925551,0.7310815850470919,0.010394210096112612,10,0.07744872989093332
264,2004.02.14.06.32.39,0.7203563003282103,0.7133064421539012,0.7220259273705534,0.009585422955232951,10,0.07614973556462623
268,2004.02.14.07.12.39,0.7313597550713606,0.7227387182487544,0.7406913978150054,0.015125948738690597,10,0.07785898335492507
272,2004.02.14.07.52.39,0.7299660229523128,0.7193062274836265,0.7431808427366302,0.012963473078686585,10,0.07842339670271
276,2004.02.14.08.32.39,0.7330177033763051,0.7267552907942193,0.7407397973738192,0.011353602692921764,10,0.07883279811470445
280,2004.02.14.09.12.39,0.7294495326810795,0.7207805022952116,0.7416240441088287,0.01315088086842217,10,0.07758280543534599
284,2004.02.14.09.52.39,0.7307314401367899,0.7252732546330101,0.7363720157645623,0.007950936949463078,10,0.07806387515051776
288,2004.02.14.10.32.39,0.7257497327456255,0.7223581658277715,0.7309339201836533,0.006948592934229481,10,0.07691889784508826
